pcode,name,category,LawModifiedDate,LawEffectiveDate,discarded
R0040015,專門職業及技術人員特種考試中醫師考試規則,"廢止法規,考選部",20150318,,true
R0040016,專門職業及技術人員特種考試中醫師考試錄取人員訓練辦法,"廢止法規,考選部",20150318,,true
R0040017,專門職業及技術人員檢覈筆試口試及實地考試辦法,"廢止法規,考選部",20060920,,true
R0040018,律師檢覈辦法,"廢止法規,考選部",20061122,,true
R0040019,會計師檢覈辦法,"廢止法規,考選部",20061023,,true
R0040020,建築師檢覈辦法,"廢止法規,考選部",20061023,,true
R0040021,技師檢覈辦法,"廢止法規,考選部",20061023,,true
R0040022,醫事人員檢覈辦法,"廢止法規,考選部",20061023,,true
R0040023,中醫師檢覈辦法,"廢止法規,考選部",20061023,,true
R0040024,獸醫人員檢覈辦法,"廢止法規,考選部",20061023,,true
R0040025,土地登記專業代理人檢覈辦法,"廢止法規,考選部",20061023,,true
R0040026,漁船船員檢覈辦法,"廢止法規,考選部",20061023,,true
R0040027,營養師檢覈辦法,"廢止法規,考選部",20061023,,true
R0040028,專門職業及技術人員醫師牙醫師檢覈筆試分階段考試規則,"廢止法規,考選部",20060920,,true
R0040029,專門職業及技術人員普通考試專責報關人員考試規則,"考試,考選部,專門職業及技術人員考試目",20200803,,
R0040030,專門職業及技術人員普通考試保險代理人保險經紀人及保險公證人考試規則,"考試,考選部,專門職業及技術人員考試目",20170324,,
R0040031,技術人員高科技或稀少性工作類科標準,"廢止法規,銓敘部",20020415,,true
R0040032,特種考試交通事業捷運人員考試錄取人員訓練辦法,"廢止法規,銓敘部",19960712,,true
R0040033,專門職業及技術人員特種考試醫事檢驗生考試規則,"廢止法規,考選部",20050524,,true
R0040034,專門職業及技術人員特種考試物理治療人員考試規則,"廢止法規,考選部",20000726,,true
R0040035,專門職業及技術人員高等考試呼吸治療師考試規則,"考試,考選部,專門職業及技術人員考試目",20230720,,
R0040036,專門職業及技術人員特種考試呼吸治療師考試規則,"廢止法規,考選部",20070515,,true
R0040037,專門職業及技術人員高等考試心理師考試規則,"考試,考選部,專門職業及技術人員考試目",20181211,,
R0040038,專門職業及技術人員特種考試心理師考試規則,"廢止法規,考選部",20070515,,true
R0040039,專門職業及技術人員高等考試驗船師考試規則,"考試,考選部,專門職業及技術人員考試目",20170324,,
R0040040,專門職業及技術人員高等考試獸醫師考試規則,"考試,考選部,專門職業及技術人員考試目",20240125,,
R0040041,專門職業及技術人員高等考試中醫師考試規則,"廢止法規,考選部",20160108,,true
R0040042,專門職業及技術人員高等考試民間之公證人考試規則,"考試,考選部,專門職業及技術人員考試目",20181121,,
R0040043,專門職業及技術人員高等考試營養師考試規則,"考試,考選部,專門職業及技術人員考試目",20230216,20240101,
R0040044,專門職業及技術人員高等考試醫事人員考試規則,"考試,考選部,專門職業及技術人員考試目",20230720,,
R0040045,專門職業及技術人員高等考試會計師考試規則,"考試,考選部,專門職業及技術人員考試目",20190701,,
R0040046,專門職業及技術人員特種考試漁船船員考試規則,"廢止法規,考選部",20070606,,true
R0040047,專門職業及技術人員高等考試律師考試規則,"考試,考選部,專門職業及技術人員考試目",20190412,,
R0040048,專門職業及技術人員高等考試建築師考試規則,"考試,考選部,專門職業及技術人員考試目",20190114,,
